State,UrbanPop,Murder,Assault,Rape,Total
Alabama,58,13.2,236,21.2,270.4
Alaska,48,10,263,44.5,317.5
Arizona,80,8.1,294,31,333.1
Arkansas,50,8.8,190,19.5,218.3
California,91,9,276,40.6,325.6
Colorado,78,7.9,204,38.7,250.6
Connecticut,77,3.3,110,11.1,124.4
Delaware,72,5.9,238,15.8,259.7
Florida,80,15.4,335,31.9,382.3
Georgia,60,17.4,211,25.8,254.2
Hawaii,83,5.3,46,20.2,71.5
Idaho,54,2.6,120,14.2,136.8
Illinois,83,10.4,249,24,283.4
Indiana,65,7.2,113,21,141.2
Iowa,57,2.2,56,11.3,69.5
Kansas,66,6,115,18,139
Kentucky,52,9.7,109,16.3,135
Louisiana,66,15.4,249,22.2,286.6
Maine,51,2.1,83,7.8,92.9
Maryland,67,11.3,300,27.8,339.1
Massachusetts,85,4.4,149,16.3,169.7
Michigan,74,12.1,255,35.1,302.2
Minnesota,66,2.7,72,14.9,89.6
Mississippi,44,16.1,259,17.1,292.2
Missouri,70,9,178,28.2,215.2
Montana,53,6,109,16.4,131.4
Nebraska,62,4.3,102,16.5,122.8
Nevada,81,12.2,252,46,310.2
New Hampshire,56,2.1,57,9.5,68.6
New Jersey,89,7.4,159,18.8,185.2
New Mexico,70,11.4,285,32.1,328.5
New York,86,11.1,254,26.1,291.2
North Carolina,45,13,337,16.1,366.1
North Dakota,44,0.8,45,7.3,53.1
Ohio,75,7.3,120,21.4,148.7
Oklahoma,68,6.6,151,20,177.6
Oregon,67,4.9,159,29.3,193.2
Pennsylvania,72,6.3,106,14.9,127.2
Rhode Island,87,3.4,174,8.3,185.7
South Carolina,48,14.4,279,22.5,315.9
South Dakota,45,3.8,86,12.8,102.6
Tennessee,59,13.2,188,26.9,228.1
Texas,80,12.7,201,25.5,239.2
Utah,80,3.2,120,22.9,146.1
Vermont,32,2.2,48,11.2,61.4
Virginia,63,8.5,156,20.7,185.2
Washington,73,4,145,26.2,175.2
West Virginia,39,5.7,81,9.3,96
Wisconsin,66,2.6,53,10.8,66.4
Wyoming,60,6.8,161,15.6,183.4
Alabama,85,1,632,12.2,645.2
Arkansas,5,4.4,91,51.9,147.3
Michigan,47,12.2,525,15.3,552.5
Mississippi,22,16.1,259,17.1,292.2
Montana,35,60,91,46.1,197.1
Nevada,18,21.2,521,64,606.2
New Jersey,98,4.7,519,81.8,605.5
New York,68,1.2,524,16.2,541.4
North Dakota,45,8,54,3.7,65.7
Oklahoma,86,7.6,152,2,161.6
Pennsylvania,27,3.6,601,41.9,646.5
South Carolina,84,41.4,792,52.5,885.9
Tennessee,95,21.3,91,62.9,175.2
Utah,8,2.3,210,92.2,304.5
Virginia,36,5.8,216,70.2,292
West Virginia,20,4.3,81,9.3,94.6
Wyoming,6,8.6,611,61.5,681.1
Alaska,84,11,362,54.5,427.5
Arkansas,5,9.8,91,91.5,192.3
Colorado,87,9.7,402,78.3,490
Delaware,27,9.5,328,19.5,357
Georgia,6,13.5,112,95.3,220.8
